% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 12 2026, 11:48
% Dimension:          1
% Nodes:              31
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
3.0E11                    -5.7696274501838705      -2.0654759853904587
3.2E11                    -6.44540027830118        -1.7992708321519628
3.4E11                    -7.987183723584945       -1.459553505459916
3.6E11                    -8.55897674166384        -1.5525974956988289
3.8E11                    -10.852151819648622      -1.0354912990395282
4.0E11                    -12.018490011992167      -0.9721490544244675
4.2E11                    -14.341958602918329      -0.6633298786691579
4.4E11                    -15.032439688441066      -0.5984323525899429
4.6E11                    -13.70020322852401       -0.5273849614865951
4.8E11                    -11.966972936279934      -0.6423134353352571
5.0E11                    -9.479539067101186       -0.9197433633180213
5.2E11                    -8.539767097627866       -0.8564583412449189
5.4E11                    -6.713295779202505       -1.0684841040427338
5.6E11                    -6.567721094060108       -1.2816317669587907
5.8E11                    -5.243136792473956       -1.7210941588722677
6.0E11                    -4.531716816861827       -1.8203829547739803
6.2E11                    -4.226871013784673       -1.9012316300451828
6.4E11                    -3.963829254909583       -2.081782262742201
6.6E11                    -3.4416583435059405      -2.4436242091717735
6.8E11                    -3.4758421229845107      -2.7515875501749716
7.0E11                    -3.242012541055415       -2.5842504202545804
7.2E11                    -3.1567373181800598      -2.614175079071318
7.4E11                    -2.921166106799826       -2.76690211780041
7.6E11                    -2.8758408606566093      -3.1046210772852785
7.8E11                    -3.029640201136521       -3.364294441013325
8.0E11                    -2.7923944285977265      -3.053309214775297
8.2E11                    -2.704982617563379       -2.9465501532606075
8.4E11                    -2.814544402069438       -2.8100588639982726
8.6E11                    -2.4946164563908644      -3.183117462111216
8.8E11                    -3.4276265820676652      -4.404882809316683
9.0E11                    -2.4670660731119916      -2.881387436573367
