% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Apr 2 2026, 17:15
% Dimension:          1
% Nodes:              24
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.2E11                    -4.874981673439614       -2.5188888533647584
2.4E11                    -5.235055571303158       -2.346370439971322
2.6E11                    -5.795632142283243       -2.0866741940777693
2.8E11                    -6.093412282484505       -2.0414567583292627
3.0E11                    -6.946811416228517       -1.756472090847484
3.2E11                    -7.909348137300549       -1.5361463264352437
3.4E11                    -9.152536898577303       -1.2471453638013372
3.6E11                    -10.466332408036443      -1.0499597185391216
3.8E11                    -12.277911905282274      -0.9312159233004685
4.0E11                    -13.79477934606449       -0.7643605500008388
4.2E11                    -13.467665155934077      -0.7956866990567555
4.4E11                    -13.586207241191019      -0.6789654681359564
4.6E11                    -10.873017228404036      -0.9252513502686079
4.8E11                    -11.220862168449024      -0.6142500216833959
5.0E11                    -8.87195723858899        -0.8457248471001839
5.2E11                    -8.071869712659115       -0.8538474064398001
5.4E11                    -6.828664392237979       -1.3672661768665786
5.6E11                    -6.241281428565698       -1.433471621449377
5.8E11                    -5.092360385378964       -1.490459088286257
6.0E11                    -4.451982584282036       -1.9480949753745609
6.2E11                    -4.187241241687297       -2.4641692969384046
6.4E11                    -3.986810623077554       -2.1806465234618653
6.6E11                    -3.36140550809493        -2.8617259743062866
6.8E11                    -3.7246854262248212      -2.155907404249227
