% Model:              top_gate_optim.mph
% Version:            COMSOL 6.4.0.343
% Date:               Mar 30 2026, 20:11
% Dimension:          1
% Nodes:              24
% Expressions:        2
% Description:        Global
% Frequency (Hz)          S12 @ S12                S22 @ S22
2.2E11                    -5.498970282117677       -2.1238430367154795
2.4E11                    -6.112964889987702       -1.902588058606558
2.6E11                    -7.042816255847633       -1.5999758853040982
2.8E11                    -7.589422703805068       -1.5459960262612764
3.0E11                    -9.048356877301597       -1.2334821086127947
3.2E11                    -10.67692863900075       -1.0308678918215688
3.4E11                    -12.731743501701205      -0.7932069221218596
3.6E11                    -14.565126313171465      -0.6646152100437909
3.8E11                    -15.765815295007021      -0.6395595465969759
4.0E11                    -13.605364758105289      -0.6413607265823885
4.2E11                    -12.306001205763167      -0.7418459863660404
4.4E11                    -10.229680594594857      -0.7890067022418944
4.6E11                    -8.484359839377136       -1.1022636170966587
4.8E11                    -8.362544924997197       -0.8398757119863194
5.0E11                    -6.853203912701201       -1.1462759279272292
5.2E11                    -6.29319808721279        -1.1894756543434413
5.4E11                    -5.613872673458099       -1.7100880461761898
5.6E11                    -5.245694164304609       -1.7451659628016167
5.8E11                    -4.417156658275165       -1.792380925147833
6.0E11                    -3.9919116978073372      -2.2267194258348644
6.2E11                    -3.873869814531936       -2.6781672594743
6.4E11                    -3.6869032752880426      -2.3966619016181125
6.6E11                    -3.2064375092122392      -3.0005930175933604
6.8E11                    -3.526265764891337       -2.3224048286149337
