dx,g_w,c_w,h_graph,w_au,w_graph,predicted_s12,iteration
33,3,24,1,4,1,-13.519901260573304,1
24,4,17,-4,4,1,-12.946699084376002,2
24,4,27,-6,5,1,-13.587675259153482,3
30,4,12,-6,4,1,-12.974393489677366,4
28,3,28,-3,3,1,-13.30402336525309,5
30,4,28,0,5,1,-13.70819788889906,6
31,4,12,5,4,1,-12.394640668649014,7
28,3,16,-3,4,1,-13.070114498976295,8
30,5,15,-1,3,1,-12.769745829991532,9
32,4,15,1,3,1,-12.80346768316161,10
35,3,28,-6,5,1,-14.131465723357225,11
35,5,28,-6,5,1,-13.671007572593071,12
35,3,28,-3,5,1,-14.18815405460462,13
35,3,28,0,5,1,-14.132378804240021,14
35,3,25,-4,5,1,-14.102263201158616,15
35,3,26,-6,4,1,-13.972747540033946,16
33,3,28,-3,5,1,-14.141448918229607,17
24,3,28,5,5,1,-13.490530138776728,18
35,5,27,-6,3,1,-13.270633655682413,19
35,3,28,6,5,1,-13.926370212997249,20
35,3,21,-6,3,1,-13.384707434358212,21
35,3,15,-6,5,1,-13.587989850351528,22
24,3,28,-6,4,1,-13.50408011890324,23
35,4,28,6,3,1,-13.389467226256087,24
24,3,15,-6,5,1,-13.440138547472246,25
33,5,28,6,5,1,-13.398052838201846,26
35,3,23,1,5,1,-13.889540570729624,27
35,3,28,-4,5,1,-14.183643649863797,28
24,3,27,6,3,1,-13.2856435571239,29
34,3,28,-4,4,1,-13.963987266708507,30
35,5,28,-5,4,1,-13.337352459074452,31
33,5,12,-6,5,1,-13.194204194849027,32
23,5,28,6,3,1,-13.175504811992237,33
23,3,28,-3,5,1,-13.59505664366171,34
31,3,28,-6,5,1,-14.032323284257632,35
23,3,12,5,5,1,-13.240410336047123,36
24,3,14,-6,3,1,-13.270693079890231,37
35,4,27,-4,5,1,-13.937839599861416,38
31,3,28,6,4,1,-13.813480742640923,39
35,3,28,5,4,1,-13.984688048934911,40
34,5,28,6,4,1,-13.109079048810965,41
23,5,14,6,5,1,-13.09966707413966,42
35,4,13,6,5,1,-13.065210048104456,43
23,5,27,-5,3,1,-13.22263121878872,44
25,3,13,6,3,1,-13.172544912179902,45
23,5,19,-6,5,1,-13.335327388949894,46
35,3,28,4,3,1,-13.49738828140201,47
35,3,27,-2,5,1,-14.156157472333659,48
34,3,12,-6,3,1,-13.245427427127698,49
23,3,28,5,4,1,-13.205501845063216,50
31,3,28,-6,4,1,-13.894968190881661,51
35,3,28,-6,3,1,-13.500957732342115,52
23,5,27,-6,4,1,-13.231135425324917,53
23,5,28,1,5,1,-13.279361681845428,54
30,3,23,-6,5,1,-13.87201935184037,55
23,5,12,6,3,1,-13.065044029589234,56
35,3,17,6,3,1,-13.240825841398625,57
23,5,12,-5,3,1,-13.164099109627585,58
35,3,28,-6,4,1,-14.035570447021051,59
35,5,23,-1,5,1,-13.313352529769878,60
