dx,g_w,c_w,h_graph,w_au,w_graph,predicted_dip_dB,predicted_freq_shift_abs_GHz
34,3,27,-2,4,1,-14.18815405460462,21.77238095238096
34,3,27,-3,4,1,-14.18815405460462,21.77238095238096
34,3,27,-3,4,1,-14.169490641474765,27.393333333333334
33,3,27,-2,4,1,-14.141448918229607,29.02666666666667
33,3,27,-3,4,1,-14.141448918229607,29.02666666666667
34,3,27,1,4,1,-14.076446430563687,30.30333333333333
34,3,27,2,4,1,-14.064179892738391,32.37571428571428
34,3,27,1,4,1,-14.064179892738391,32.37571428571428
34,3,27,1,4,1,-14.041034372840405,38.58666666666667
32,3,27,1,4,1,-14.00926447921311,39.81333333333335
31,3,27,1,4,1,-13.923173018659405,40.24666666666668
34,3,24,1,4,1,-13.889434708682426,41.536666666666676
33,3,24,1,4,1,-13.889434708682426,41.536666666666676
32,3,24,1,4,1,-13.861359188064965,42.33000000000001
31,3,24,1,4,1,-13.787134056148002,42.76333333333334
29,3,23,1,4,1,-13.742933915073232,42.86333333333334
30,3,24,1,4,1,-13.742933915073232,42.86333333333334
29,3,23,1,4,1,-13.695562341534911,43.03000000000001
28,3,24,2,4,1,-13.646297509892296,44.37666666666667
28,3,24,1,4,1,-13.646297509892296,44.37666666666667
25,3,27,2,4,1,-13.578889724078405,44.70666666666667
25,3,24,2,4,1,-13.499927310383114,46.44
34,4,27,2,4,1,-13.441569648352282,52.645714285714284
33,4,27,2,4,1,-13.415299716373335,53.99
31,4,27,1,4,1,-13.383337413432548,54.05666666666666
25,4,27,5,4,1,-13.306481980176986,54.74
25,4,27,5,4,1,-13.295894087134826,55.64
33,4,24,5,4,1,-13.259857030376287,56.53333333333334
31,4,24,5,4,1,-13.235845793001635,56.57333333333333
23,4,24,5,4,1,-13.214101882423627,57.37333333333333
